"schema","uuid","id","title","abstract","datasetURI","category","metadatacreationdate","date-publication","date-revision","temporal_extent_start","temporal_extent_end","keyword","geoBox","LegalConstraints","link","format","contact-pointOfContact","keyword-1","Constraints"
"iso19139","6cd24a4f-8478-4536-83a2-163983e12141","102009","Ash Host Species: Michigan, 2009","Ash Host Species 2009 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.","3bf8994feaba4da8ad3c0f18bda45bda_15","dataset","2017-04-07T12:34:42","","","2009","2009","Forests###Trees###Michigan, United States","-90.1635###-83.3611###41.679###48.1596","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/3bf8994feaba4da8ad3c0f18bda45bda_15.zip###https://opengeometadata.github.io/big-ten/6c/d2/4a/4f8478453683a2163983e12141/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestHealthAndPlanning/MapServer/15###https://gis-michigan.opendata.arcgis.com/datasets/3bf8994feaba4da8ad3c0f18bda45bda_15","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","6d9d8269-24fd-4e0f-976f-acf787d937dc","102007","Voting Precincts: Michigan, 2016","The 2016 Precinct data set represents the geography used for the 2016 election cycle. Information was collected from local election officials along with county/local GIS authorities as well as a validation done by most, but not all jurisdictions. BOE maintains every effort to keep this data correct, however the data set is only as good as the information received from the local election official.More Metadata","8ce0f3ce3ff74109ac02a26d34a0f4fc_1","dataset","2017-05-12T10:41:25","2016-11-03","2017-03-15","2016","2016","Voting###Elections###Michigan, United States","-90.418256###-82.418657###41.696118###48.262684","","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/8ce0f3ce3ff74109ac02a26d34a0f4fc_1.zip###https://gis-michigan.opendata.arcgis.com/datasets/8ce0f3ce3ff74109ac02a26d34a0f4fc_1###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/1###https://opengeometadata.github.io/big-ten/6d/9d/82/6924fd4e0f976facf787d937dc/iso19139","Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","Downloadable Data","",
"iso19139","6f0c3999-d95d-4224-9282-4867b9070616","102006","Counties: Michigan, 2015","Countiesfrom the Michigan Geographic Framework (MGF) base map.More Metadata","67a8ff23b5f54f15b7133b8c30981441_0","dataset","2017-04-07T12:35:13","","","2015","2015","Michigan, United States","-90.4183###-82.4135###41.6961###48.2627","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/67a8ff23b5f54f15b7133b8c30981441_0.zip###https://opengeometadata.github.io/big-ten/6f/0c/39/99d95d422492824867b9070616/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/0###https://gis-michigan.opendata.arcgis.com/datasets/67a8ff23b5f54f15b7133b8c30981441_0","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","7457615d-5123-41e5-8b64-1242b64396fa","102004","Watershed Boundary - 12 Digit: Michigan, 2015","This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S.Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from newwatershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed bya standard nomenclature. Development of the Watershed Boundary Dataset started in the early 1990's and has progressed to the formatand attribution that is now being distributed. The delineation and attribution was done on a state basis using a variety of methodsand source data. Each state HU dataset has gone through an extensive quality review process to ensure accuracy and compliance tothe Federal Standard for Delineation of Hydrologic Unit Boundaries before and during submittal to USDA-NRCS National GeospatialManagement Center (NGMC).;","48e1e6e762f644a09f00c99ae794f69a_20","dataset","2017-04-07T12:35:06","","","2015","2015","Michigan, United States###Hydrology","-92.344###-78.0471###40.7594###49.0389","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20.zip###https://opengeometadata.github.io/big-ten/74/57/61/5d512341e58b641242b64396fa/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/20###https://gis-michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","750b72c5-3421-41cc-aa56-61e326acab1f","102003","Michigan Geographic Framework Base: Michigan, 2015","All features from the Michigan Geographic Framework (MGF) base map.","placeholder","dataset","2017-04-14T13:27:38","","","2015","2015","Michigan, United States","-90.4188###-82.4135###41.6961###48.2627","public","https://gis-michigan.opendata.arcgis.com/###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/6###https://opengeometadata.github.io/big-ten/75/0b/72/c5342141ccaa5661e326acab1f/iso19139","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","6fea5b37-8ed7-4a37-9da9-e9b75121b214","102005","Aerial Forest Survey Pattern: Michigan, 2000","This dataset was taken from an aerial survey of forests","ca5c7ec517d8444581baa82259c2d2d4_1","dataset","2017-04-07T12:34:34","2016-07-07","2017-03-15","2000","2000","Forests###Trees###Michigan, United States","-90.5215###-82.1766###41.9757###48.1031","public","https://gis-michigan.opendata.arcgis.com/###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_1.zip###https://gis-michigan.opendata.arcgis.com/datasets/ca5c7ec517d8444581baa82259c2d2d4_1.zip###https://gis-michigan.opendata.arcgis.com/datasets/ca5c7ec517d8444581baa82259c2d2d4_1###https://opengeometadata.github.io/big-ten/6f/ea/5b/378ed74a379da9e9b75121b214/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/1","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","79e0d9fb-c271-4988-a431-37ff29fe0298","101999","Michigan Public Boating Access Sites: Michigan, 2015","Boat Access Sites are point locations for all designated public boating access sites.","e33baefa170b46928869155f3627de92_1","dataset","2017-04-14T11:25:11","","","2015","2015","Michigan, United States","-90.4507###-82.1003###41.6681###48.1479","public","https://gis-michigan.opendata.arcgis.com/###unavailable###https://opengeometadata.github.io/big-ten/79/e0/d9/fbc2714988a43137ff29fe0298/iso19139","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","779790be-e1cb-4d3c-9e02-81f2b83b5d52","102002","Aerial Forest Survey Severity: Michigan, 2014","Aerial Survey 2014 Severity","83f5a009d001473f8cd5b876b7d739ee_57","dataset","2017-04-07T12:35:01","2016-01-07","2017-03-15","2014","2014","Forests###Trees###Michigan, United States","-90.258###-83.2547###43.477###48.1501","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/83f5a009d001473f8cd5b876b7d739ee_57.zip###https://gis-michigan.opendata.arcgis.com/datasets/83f5a009d001473f8cd5b876b7d739ee_57###https://opengeometadata.github.io/big-ten/77/97/90/bee1cb4d3c9e0281f2b83b5d52/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrAerialSurveys/MapServer/57","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","78db2a16-effa-4e44-a576-d924c30373c6","102001","Bedrock Geology: Michigan, 2015","Michigan bedrock geology","34044b85bdb64437900fa6b85f4c4045_0","dataset","2017-04-07T12:35:16","","","2015","2015","Michigan, United States###Geology","-90.4185###-82.4186###41.6961###48.2627","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0.zip###https://opengeometadata.github.io/big-ten/78/db/2a/16effa4e44a576d924c30373c6/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/0###https://gis-michigan.opendata.arcgis.com/datasets/34044b85bdb64437900fa6b85f4c4045_0","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","78f875bc-b15d-4680-9920-c2ce578db9c3","102000","MDOT Guardrail: Michigan, 2015","This data represents MDOT owned and maintained guardrail collected using a handheld GPS unit. Full limits of guardrail were inventoried along trunkline, including within medians and ramps. On Local Roads over / under trunkline, the inventory is limited to no more than 200 feet from the bridge railing end / from the pier or abutment, respectfully. Please see theMDOT Metadata Formfor additional information.;Update Cycle: The last statewide guardrail update was completed in 2006. Region-wide updates have occurred in both Southwest Region and University Region in 2015. Updates are added as they become available.;Data Quality: This data set is in production and is accessed through desktop GIS, map services, and feature services. Data was collected by region using Trimble GEO XT and other similar units.;Coverage: This inventory was collected to over 95% competition in 2006. Any assets added, removed, or changed since then may not be part of this inventory.;Symbology: The preferred symbology for this asset in a map service is a line of width \"3\" and an RGB color of \"0,92,230\".;Contact: Kevin McKnight,mcknightk@michigan.gov","0cf176e5d8c141a187430f5271d349d8_8","dataset","2017-04-07T12:34:30","2017-02-14","2017-02-14","2015","2015","Michigan, United States","-90.2674###-82.1361###41.6473###47.495","public","https://gis-michigan.opendata.arcgis.com/###https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_assets/MapServer/8###https://gis-michigan.opendata.arcgis.com/datasets/0cf176e5d8c141a187430f5271d349d8_8.zip###https://gis-michigan.opendata.arcgis.com/datasets/0cf176e5d8c141a187430f5271d349d8_8###https://opengeometadata.github.io/big-ten/78/f8/75/bcb15d46809920c2ce578db9c3/iso19139","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4ab2b5cf-d003-44da-82ae-25dd15fead39","102044","Census Tracts: Michigan, 2000","2000 Census Tracts from the Michigan Geographic Framework (MGF) base map. Census tracts are small areas created for statistical purposes that usually average about 4000 people.","60786849e15649b691a921aa379d0c14_11","dataset","2017-04-07T12:35:12","","","2000","2000","Michigan, United States###Demographics###Census","-90.5567###-82.0649###41.6321###48.2841","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/60786849e15649b691a921aa379d0c14_11.zip###https://opengeometadata.github.io/big-ten/4a/b2/b5/cfd00344da82ae25dd15fead39/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/11###https://gis-michigan.opendata.arcgis.com/datasets/60786849e15649b691a921aa379d0c14_11","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4917324e-2d49-412d-bc9d-dccc01b55fd9","102047","Michigan DNR Designated MCCCT Trails: Michigan, 2015","Designated MCCCT (Michigan Cycle Conservation Club Trail) are the trails specifically designated for ORV, ATV, or Motorcycle Use. The trails are located on State, Federal, County, Local, and Private Lands.","36dfcb66e2034ea599369c53af8b221f_10","dataset","2017-04-07T12:34:31","","","2015","2015","Michigan, United States","-90.5436###-82.0796###41.6457###48.1903","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/36dfcb66e2034ea599369c53af8b221f_10.zip###https://opengeometadata.github.io/big-ten/49/17/32/4e2d49412dbc9ddccc01b55fd9/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/open_Trails/FeatureServer/10###https://gis-michigan.opendata.arcgis.com/datasets/36dfcb66e2034ea599369c53af8b221f_10","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4b3ced7f-e8d1-4371-b418-a988bd58dceb","102043","All Roads: Michigan, 2015","All roads from the Michigan Geographic Framework (MGF) base map.","5fddb53b929b4b729b8d4282b4d23ade_20","dataset","2017-04-07T12:34:50","","","2015","2015","Michigan, United States","-90.4853###-82.1301###41.6322###47.4964","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/5fddb53b929b4b729b8d4282b4d23ade_20.zip###https://opengeometadata.github.io/big-ten/4b/3c/ed/7fe8d14371b418a988bd58dceb/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/20###https://gis-michigan.opendata.arcgis.com/datasets/5fddb53b929b4b729b8d4282b4d23ade_20","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4cdc4bc5-de84-4631-8211-53b9f69e4b38","102041","Michigan Bedrock Geology: Michigan, 1987","Bedrock geology polygons as digitized from the 1987 Michigan Bedrock Geology map.","b52cd98bb02047ca8927eec8879726ef_5","dataset","2017-04-07T12:34:43","","","1987","1987","Michigan, United States###Geology","-90.5568###-82.0704###41.6321###48.2841","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/b52cd98bb02047ca8927eec8879726ef_5.zip###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/dnrMinerals/FeatureServer/5###https://opengeometadata.github.io/big-ten/4c/dc/4b/c5de844631821153b9f69e4b38/iso19139###https://gis-michigan.opendata.arcgis.com/datasets/b52cd98bb02047ca8927eec8879726ef_5","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4bae9512-86da-4845-8ee3-5b66bf92249d","102042","MDOT Lane Mile Inventory (LMI): Michigan, 2015","The Lane Mile Inventory is a GPS assisted windshield survey data collection of the number of lanes on any given segment of Michigan state highway (trunkline). Another description could refer to it as a \"striped lane mile inventory\". The definition of a lane mile is \"one mile of roadway that is intended for driving\". The LMI supports the delivery of annual maintenance and capital funds to MDOT's regions. Attributes that are collected with this effort are number of lanes, lane function, maintenance responsibility, road type, speed limit, bike lanes, on street parking, and sidewalks. Please see theMDOT Metadata Formfor additional information.Update Cycle: The yearly release of the LMI represents changes to the existing roadway (number of drivable lanes) that are submitted by the regions from new projects every year. The entire system is updated on a 5-year cycle.;Data Quality: Data is collected to +/- 25ft accuracy using a laptop equipped with ArcGIS Desktop and a tethered USB puck GPS unit.;Coverage: This inventory is complete in its coverage of all State of Michigan trunkline roadways.;Symbology: The symbology for the LMI is categorized using the current \"LANE_YEAR\" field with different colors for each lane number and a size 2 line.;Contact: Kevin McKnight,mcknightk@michigan.gov","6319ec2d8bb445e990881c5fd9c4d198_0","dataset","2017-04-07T12:35:00","","","2015","2015","Michigan, United States","-90.2677###-82.135###41.6417###47.4964","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/6319ec2d8bb445e990881c5fd9c4d198_0.zip###https://opengeometadata.github.io/big-ten/4b/ae/95/1286da48458ee35b66bf92249d/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_opendata/MapServer/0###https://gis-michigan.opendata.arcgis.com/datasets/6319ec2d8bb445e990881c5fd9c4d198_0","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4db8b84e-6404-4101-aa05-3da5996987bd","102038","State Owned Roads: Michigan, 2015","State owned roads from the Michigan Geographic Framework (MGF) base map.","a54ba77223a641f48c0cbabe7da4a190_8","dataset","2017-04-07T12:34:23","","","2015","2015","Michigan, United States","-90.2677###-82.1349###41.6416###47.4964","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/a54ba77223a641f48c0cbabe7da4a190_8.zip###https://opengeometadata.github.io/big-ten/4d/b8/b8/4e64044101aa053da5996987bd/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/8###https://gis-michigan.opendata.arcgis.com/datasets/a54ba77223a641f48c0cbabe7da4a190_8","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4d8b7c8c-2d68-4ffc-9387-b210061a14c6","102040","Aerial Forest Survey Disease/Pest: Michigan, 2006","This dataset was taken from an aerial survey of forests","3462c537555f4beb96c1923bd29218a0_20","dataset","2017-04-07T12:35:11","2016-07-07","2017-03-15","2006","2006","Forests###Trees###Michigan, United States","-90.335###-83.1581###43.6322###48.1456","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/3462c537555f4beb96c1923bd29218a0_20.zip###https://gis-michigan.opendata.arcgis.com/datasets/3462c537555f4beb96c1923bd29218a0_20###https://opengeometadata.github.io/big-ten/4d/8b/7c/8c2d684ffc9387b210061a14c6/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/20","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4da20f6f-7a40-4326-b6c9-1a9f8b85e0bb","102039","Detroit Bike Lanes: Michigan, 2014","This layer is a reproduction of the non-motorized transportation projects that have been completed, are in progress or in planning as issued by the City of Detroit Department of Public Works - Traffic Engineering Division as of 2014.","4b886654a8d846a782658bd4712e7952_0","dataset","2017-04-07T12:34:50","","","2014","2014","Michigan, United States###Bicycles","-83.26550115106657###-82.91192611642178###42.30912338907756###42.44677272315328","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/4b886654a8d846a782658bd4712e7952_0.zip###https://opengeometadata.github.io/big-ten/4d/a2/0f/6f7a404326b6c91a9f8b85e0bb/iso19139###https://services2.arcgis.com/HsXtOCMp1Nis1Ogr/arcgis/rest/services/DETROIT_BIKE_LANES/FeatureServer/0###https://gis-michigan.opendata.arcgis.com/datasets/4b886654a8d846a782658bd4712e7952_0","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4e9c7e45-8cf5-4b52-9474-ee12587d921c","102037","Aerial Forest Survey Pattern: Michigan, 2014","This data was taken from an aerial survey of forests","f33e5029d04042c99531f0949bc4cedf_58","dataset","2017-04-07T12:35:09","2016-01-07","2017-03-15","2014","2014","Forests###Trees###Michigan, United States","-90.258###-83.2547###43.477###48.1501","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/f33e5029d04042c99531f0949bc4cedf_58.zip###https://gis-michigan.opendata.arcgis.com/datasets/f33e5029d04042c99531f0949bc4cedf_58###https://opengeometadata.github.io/big-ten/4e/9c/7e/458cf54b529474ee12587d921c/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrAerialSurveys/MapServer/58","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","511e4759-6b66-40d9-abe4-23cc8a7ee855","102034","Aerial Forest Survey Pattern: Michigan, 2009","This data was taken from an aerial survey of forests","f06ef3b9109543c6b4f368b5ffaa59cc_28","dataset","2017-04-07T12:34:30","2016-07-07","2017-03-15","2009","2009","Forests###Trees###Michigan, United States","-90.1635###-83.3611###41.679###48.1596","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/f06ef3b9109543c6b4f368b5ffaa59cc_28.zip###https://gis-michigan.opendata.arcgis.com/datasets/f06ef3b9109543c6b4f368b5ffaa59cc_28###https://opengeometadata.github.io/big-ten/51/1e/47/596b6640d9abe423cc8a7ee855/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/ArcGIS/rest/services/ForestHealthAerialSurveys/FeatureServer/28","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4f4f020f-e6f1-49dd-9aaf-121d5114d16f","102036","Estimated Groundwater Recharge: Michigan, 2015","This data set provides an estimate of annual groundwater recharge for each public land survey section in Michigan.","e0ef07f51f9444b7a75c47e184f5e5b1_8","dataset","2017-04-07T12:34:34","","","2015","2015","Michigan, United States###Hydrology","-90.4261###-82.4559###41.6969###48.2683","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/e0ef07f51f9444b7a75c47e184f5e5b1_8.zip###https://opengeometadata.github.io/big-ten/4f/4f/02/0fe6f149dd9aaf121d5114d16f/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/8###https://gis-michigan.opendata.arcgis.com/datasets/e0ef07f51f9444b7a75c47e184f5e5b1_8","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","51fad089-c7ad-4467-acb1-52daff0d361b","102033","Public Land Survey Town Range: Michigan, 2015","More Metadata","90059f787e744db3a0ef7add7d679548_5","dataset","2017-04-07T12:34:36","","","2015","2015","Michigan, United States###Public Land Survey System","-90.4185###-82.4186###41.6968###48.2627","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/90059f787e744db3a0ef7add7d679548_5.zip###https://opengeometadata.github.io/big-ten/51/fa/d0/89c7ad4467acb152daff0d361b/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/5###https://gis-michigan.opendata.arcgis.com/datasets/90059f787e744db3a0ef7add7d679548_5","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","4fd70762-4446-494e-8ebc-8cf741967bb0","102035","Aerial Forest Survey Severity: Michigan, 2011","This data was taken from an aerial survey of forests","8764af9ad8054c14b1fff3dd1fe1c39e_33","dataset","2017-04-07T12:34:41","","","2011","2011","Forests###Trees###Michigan, United States","-90.0717###-83.3599###43.4747###46.9006","public","https://gis-michigan.opendata.arcgis.com/###https://gis.michigan.opendata.arcgis.com/datasets/8764af9ad8054c14b1fff3dd1fe1c39e_33.zip###https://opengeometadata.github.io/big-ten/4f/d7/07/624446494e8ebc8cf741967bb0/iso19139###https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/ForestHealthAerialSurveys/FeatureServer/33","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","57b424df-1057-431a-973c-0c5b3c104cbf","102029","Conservation Easements: Michigan, 2015","Michigan Conservation Easements;;","53b6643d18994d8db12fb13567cd3c21_10","dataset","2017-04-07T12:35:10","","","2015","2015","Michigan, United States","-89.5342###-82.1874###41.7015###47.2046","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/53b6643d18994d8db12fb13567cd3c21_10.zip###https://opengeometadata.github.io/big-ten/57/b4/24/df1057431a973c0c5b3c104cbf/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/10###https://gis-michigan.opendata.arcgis.com/datasets/53b6643d18994d8db12fb13567cd3c21_10","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","5491a3cc-6719-46ae-99b7-da3c7f5fb21d","102031","Stream Rivers Assessment Units: Michigan, 2015","Michigan Stream Rivers Assessment Units","15e877c2147241b0a116ccd5bf329d0d_5","dataset","2017-04-07T12:34:39","","","2015","2015","Michigan, United States###Hydrology","-90.4878###-82.1275###41.6318###47.4863","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/15e877c2147241b0a116ccd5bf329d0d_5.zip###https://opengeometadata.github.io/big-ten/54/91/a3/cc671946ae99b7da3c7f5fb21d/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/5###https://gis-michigan.opendata.arcgis.com/datasets/15e877c2147241b0a116ccd5bf329d0d_5","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","53385c76-fa0f-42c3-8cf9-4a6250b44203","102032","Senate Districts: Michigan, 2015","Senate Districts from the Michigan Geographic Framework (MGF) base map.;2011 Apportionment Plan as enacted by PA 129 of 2011.;","96f55882b15040fbb1d32baf17897ec8_16","dataset","2017-04-07T12:34:41","","","2015","2015","Michigan, United States###Election Districts","-90.4183###-82.4135###41.6961###48.2627","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/96f55882b15040fbb1d32baf17897ec8_16.zip###https://opengeometadata.github.io/big-ten/53/38/5c/76fa0f42c38cf94a6250b44203/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/16###https://gis-michigan.opendata.arcgis.com/datasets/96f55882b15040fbb1d32baf17897ec8_16","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","552cf96b-f209-4ed2-a7b6-3a868b0a2b68","102030","Potential Wetland Restoration: Michigan, 2015","Michigan Potential Wetland Restoration","435aeaf8863d4a2ea8ebdab669a52543_19","dataset","2017-04-07T12:34:57","","","2015","2015","Michigan, United States###Hydrology","-90.4181###-82.4209###41.6962###48.2386","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/435aeaf8863d4a2ea8ebdab669a52543_19.zip###https://opengeometadata.github.io/big-ten/55/2c/f9/6bf2094ed2a7b63a868b0a2b68/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/19###https://gis-michigan.opendata.arcgis.com/datasets/435aeaf8863d4a2ea8ebdab669a52543_19","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","5afc5e0f-d16e-4d49-bc86-8aafdb20ce41","102025","Michigan DNR Managed Gates and Berms: Michigan, 2015","Gates and Berms are managed through the DNR's forest inventory process.","954d40c6b69c4914905f4ebc66551c55_2","dataset","2017-04-07T12:34:53","","","2015","2015","Michigan, United States","-88.4866###-82.2654###41.7706###46.7656","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/954d40c6b69c4914905f4ebc66551c55_2.zip###https://opengeometadata.github.io/big-ten/5a/fc/5e/0fd16e4d49bc868aafdb20ce41/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrBaseFeatures/MapServer/2###https://gis-michigan.opendata.arcgis.com/datasets/954d40c6b69c4914905f4ebc66551c55_2","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
"iso19139","5a71c4aa-9ec5-4863-9722-fc88752ec2f2","102027","Critical Dunes: Michigan, 2015","Digital form of maps used in \"Designated and Critical Sand Dune Areas\" pamphlet. Published by Geological Survey Division in 1996. These are the same areas represented in the \"Atlas of Critical Dunes\", which was publised in February 1989 and is referenced in Part 353, Sand Dune Protection and Management, of the Natural Resources and Environmental Protection Act, 1994 PA 451, as amended (NREPA).;","ae5112507e3a40f1ae570a4966821002_6","dataset","2017-04-07T12:34:42","","","2015","2015","Michigan, United States###Ecology","-88.3866###-84.6238###41.7434###47.4666","public","https://gis-michigan.opendata.arcgis.com/###https://gis-michigan.opendata.arcgis.com/datasets/ae5112507e3a40f1ae570a4966821002_6.zip###https://opengeometadata.github.io/big-ten/5a/71/c4/aa9ec548639722fc88752ec2f2/iso19139###https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/geology/MapServer/6###https://gis-michigan.opendata.arcgis.com/datasets/ae5112507e3a40f1ae570a4966821002_6","ESRI Shapefile","State of Michigan GIS Open Data/ CSS-AGO@michigan.gov","","",
